"Étude Salaire 2020 - Paysagiste Concepteur","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Détails de la soumission","","","","","","","","","","","","","","","","","","","","","Avez-vous d'autres activités rémunérées ?","","","","","","","","","","","","","","","","","Quel revenus souhaitez-vous indiquer ?","","","","",""
"Séquentiel","SID","Heure de soumission","Heure de complétion","Heure de modification","Brouillon","Adresse IP","UID","Nom d'utilisateur","De quelle école êtes-vous diplômé(e) ?","Autre diplôme","En quelle année avez-vous été diplômé(e) ?","Combien d'années d'expérience avez-vous ?","Quelle est votre région actuelle ?","Autre localisation","Quel est votre sexe ?","Combien d'enfants à charge avez-vous ?","Dans quel type de structure êtes-vous ?","Précision concernant le type de structure","Quelle est la taille de cette structure ?","De quelle convention collective dépend cette structure ?","activités d’enseignement","activités associatives","activités de paysagiste conseils de l’état","responsabilités universitaire","activité non salariée, en tant que micro-entrepreneurs","activité non salariée, en tant qu’entrepreneurs individuels classiques","activité non salariée, en tant gérants majoritaires de sociétés","activité non déclarée","Quel est votre statut ?","Quel est votre temps de travail hebdomadaire effectif annualisé ?","Etes-vous satisfait(e) de votre charge horaire ?","Etes-vous favorable au télétravail ?","Quel type de poste occupez-vous ?","Autre type de poste","Années d'ancienneté","Etes-vous satisfait(e) de votre emploi ?","Quel est votre revenu ANNUEL NET imposable en 2020 ?","Revenu salarial annuel net imposable : somme de tous les salaires perçus par un individu au cours d'une année donnée, nets de toutes cotisations sociales, y compris contribution sociale généralisée (CSG) et contribution au remboursement de la dette sociale (CRDS).","Revenu d’activité annuel : rémunération issue de l’activité non salariée, déduction faite des cotisations sociales payées dans l’année mais pas des contributions sociales (CSG non déductible, CRDS). Il est calculé à partir du revenu professionnel imposable auquel sont réintégrés certains allègements fiscaux et cotisations sociales facultatives : chiffre d’affaires des micro-entrepreneurs après abattement pour frais professionnels, bénéfice net des entrepreneurs individuels classiques, rémunération des gérants majoritaires (incluant une partie des dividendes).","Quel est votre salaire ANNUEL NET imposable en 2020 ?","Quel est votre revenu d’activité ANNUEL en 2020 ? ","Quels sont vos avantages ?","Etes-vous satisfait(e) de votre rémunération ?"
"117","9171929","06/07/2021 - 10:42","06/07/2021 - 10:42","06/07/2021 - 10:42","0","0.0.0.0","0","Anonymous","INSA-CVL-ENP (ex: ENSNP)","","2018","3","Bourgogne-Franche-Comté","","Femme","0","Agence de paysage","","2-5","Convention collective nationale des entreprises d'architecture","","","","","","","","","C.D.I","35","4","Oui, si flexbile","Chargé(e) d'étude","","3","4","20644","X","","20644","","","3"
"118","9171931","06/07/2021 - 10:43","06/07/2021 - 10:43","06/07/2021 - 10:43","0","0.0.0.0","0","Anonymous","Gembloux","","2020","2","Autre","Bruxelles","Homme","0","Bureau d'études","Bureau d'infrastructure routière","11-25","Je ne sais pas","","","","","","","","","C.D.I","40","4","Oui, si flexbile","Dessinateur(trice) projeteur","","1","2","22344","X","","","","Rtt, tickets restaurants, primes vacances, primes fin d'année, frais de déplacement","4"
"119","9171943","06/07/2021 - 10:44","06/07/2021 - 10:44","06/07/2021 - 10:44","0","0.0.0.0","0","Anonymous","Lullier","","2011","10","Auvergne-Rhône-Alpes","","Homme","2","Agence de paysage","","2-5","Convention collective nationale des entreprises d'architecture","","","","","","","","","Dirigeant de SARL","45","4","Non, pas du tout","Directeur(trice)/Dirigeant(e) de société","","10","5 - Très satisfait","16559","X","","16559","","","2"
"120","9171952","06/07/2021 - 10:45","06/07/2021 - 10:45","06/07/2021 - 10:45","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2017","4","Île-de-France","","Homme","0","Freelance / Indépendant","Micro entreprise","1","Je ne sais pas","","","","","","","","","Micro-entrepreneur (ME / Auto-entrepreneur)","39","3","Oui, si flexbile","Autre","Paysagiste concepteur","4","4","","X","","23500","","0","2"
"121","9171954","06/07/2021 - 10:45","06/07/2021 - 10:45","06/07/2021 - 10:45","0","0.0.0.0","0","Anonymous","Agrocampus Ouest (INH)","","2012","9","Hauts-de-France","","Femme","1","Agence de paysage","","2-5","Convention collective nationale des entreprises d'architecture","","","","","","","","","C.D.I","39","4","Oui, si flexbile","Chargé(e) d'étude confirmé","","9","3","18945","X","","18479","","RTT cheques dejeuner","3"
"122","9171959","06/07/2021 - 10:46","06/07/2021 - 10:46","06/07/2021 - 10:46","0","0.0.0.0","0","Anonymous","ENSP Versailles - Formation continue","","2007","13","Île-de-France","","Femme","0","Agence de paysage","","1","Convention collective nationale des entreprises d'architecture","","","","","","","","","C.D.I","48","2","Oui, si flexbile","Chef(fe) de projet confirmé","","5","3","30000","X","","30000","","TR+1j RTT par mois","2"
"123","9171961","06/07/2021 - 10:46","06/07/2021 - 10:46","06/07/2021 - 10:46","0","0.0.0.0","0","Anonymous","Lullier","","2009","13","Paris","","","1","Agence d'architecture","","11-25","Convention collective nationale des entreprises d'architecture","X","","","","","","","","C.D.I","35","4","Oui, si flexbile","Chef(fe) de projet confirmé","","8","3","69000","X","","68500","","Ticket resto - téléphone ","4"
"124","9171990","06/07/2021 - 10:48","06/07/2021 - 10:48","06/07/2021 - 10:48","0","0.0.0.0","0","Anonymous","Lullier","","2008","13","Auvergne-Rhône-Alpes","","Homme","1","Agence de paysage","Agence de paysage / projet de MOE public et privé","11-25","Syntec: Convention collective nationale des bureaux d'études techniques, des cabinets d'ingénieurs-conseils et des sociétés de conseils","","","","","","","","","C.D.I","45","4","Oui, si flexbile","Chef(fe) de projet","","10","5 - Très satisfait","31000","X","","31000","","Ticket restaurant / Intéressement / mutuelle entreprise ++","4"
"125","9171999","06/07/2021 - 10:49","06/07/2021 - 10:49","06/07/2021 - 10:49","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2013","7","Nouvelle-Aquitaine","","Femme","0","Agence de paysage","MICROENTREPRISE","1","Je ne sais pas","","","","","","","","","Micro-entrepreneur (ME / Auto-entrepreneur)","39","4","Non, exceptionnellement pour les deux confinements","Directeur(trice)/Dirigeant(e) de société","","5","5 - Très satisfait","23000","","X","","23000","","3"
"126","9172009","06/07/2021 - 10:49","06/07/2021 - 10:49","06/07/2021 - 10:49","0","0.0.0.0","0","Anonymous","Agrocampus Ouest (INH)","","2009","12","Normandie","","Homme","0","C.A.U.E","","11-25","Convention collective des CAUE","","","","","","","","","C.D.I","39","4","Oui, si flexbile","Chargé(e) d'étude","","11","4","33514","X","","25038","","RTT, tickets restaurant, PEE","3"
"127","9172021","06/07/2021 - 10:50","06/07/2021 - 10:50","06/07/2021 - 10:50","0","0.0.0.0","0","Anonymous","INSA-CVL-ENP (ex: ENSNP)","","2018","3","Pays de la Loire","","Femme","0","Bureau d'études","urbanisme planification","2-5","Syntec: Convention collective nationale des bureaux d'études techniques, des cabinets d'ingénieurs-conseils et des sociétés de conseils","","","","","X","","","","C.D.I","39","3","Oui, si flexbile","Chargé(e) d'étude","","1","4","22800","X","","22800","","","4"
"128","9172063","06/07/2021 - 10:54","06/07/2021 - 10:54","06/07/2021 - 10:54","0","0.0.0.0","0","Anonymous","ENSP Marseille","","2012","8","Bretagne","","Femme","0","Agence de paysage","","1","Convention collective nationale des entreprises d'architecture","","","","","","","","","Dirigeant d'entreprise salarié","40","3","Oui, si flexbile","Directeur(trice)/Dirigeant(e) de société","","6","3","12595","X","","12595","","","1"
"129","9172102","06/07/2021 - 10:57","06/07/2021 - 10:57","06/07/2021 - 10:57","0","0.0.0.0","0","Anonymous","Autre","","1995","13","Grand Est","","Femme","2","Bureau d'études","","1","Je ne sais pas","","","","","","","","","Micro-entrepreneur (ME / Auto-entrepreneur)","39","5 - Très satisfait","Oui, y compris à temps complet","Paysagiste conseil","","13","5 - Très satisfait","40600","","X","","40600","","5 - Très satisfait"
"130","9172116","06/07/2021 - 10:58","06/07/2021 - 10:58","06/07/2021 - 10:58","0","0.0.0.0","0","Anonymous","Agrocampus Ouest (INH)","","2008","13","Pays de la Loire","","Homme","05","Groupe","Parc de loisir","201-500","Je ne sais pas","","","","","","","","","C.D.I","35","4","Non, pas du tout","Chef(fe) de projet","","4","4","36000","X","","","","","4"
"131","9172208","06/07/2021 - 11:07","06/07/2021 - 11:07","06/07/2021 - 11:07","0","0.0.0.0","0","Anonymous","ENSAPBX","","2009","13","Bretagne","","Femme","1","Agence de paysage","","2-5","Convention collective nationale des entreprises d'architecture","X","","","","","","","","Dirigeant de SARL","45","2","Oui, si flexbile","Directeur(trice)/Dirigeant(e) de société","","7","5 - Très satisfait","20400","X","","","","Rien","3"
"132","9172215","06/07/2021 - 11:07","06/07/2021 - 11:07","06/07/2021 - 11:07","0","0.0.0.0","0","Anonymous","ESAJ","","2009","10","Île-de-France","","Femme","0","Agence de paysage","Micro-entreprise","1","Je ne sais pas","X","","","","","","","","Micro-entrepreneur (ME / Auto-entrepreneur)","50","1","Oui, y compris à temps complet","Directeur(trice)/Dirigeant(e) de société","","11","4","29300","X","X","20291","20291","Aucun","0 - Pas du tout satisfait"
"133","9172252","06/07/2021 - 11:10","06/07/2021 - 11:10","06/07/2021 - 11:10","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2008","12","Pays de la Loire","","Homme","4","Agence de paysage","SCOP","2-5","Convention collective nationale des entreprises d'architecture","X","","","","","","","","C.D.I","70","0 - Pas du tout satisfait","Oui, si flexbile","Responsable d'agence / bureaux","","8","3","28718","X","","24835","","Tickets restaurants 120€/mois ","1"
"134","9172282","06/07/2021 - 11:12","06/07/2021 - 11:12","06/07/2021 - 11:12","0","0.0.0.0","0","Anonymous","Agrocampus Ouest (INH)","","2014","7","Bretagne","","Femme","1","Entreprise de réalisation","","51-200","Convention collective agricole","","","","","","","","","C.D.I","39","4","Oui, y compris à temps complet","Autre","Responsable prescription et grands comptes","6","4","","X","","25200","","voiture de fonction","4"
"135","9172283","06/07/2021 - 11:12","06/07/2021 - 11:12","06/07/2021 - 11:12","0","0.0.0.0","0","Anonymous","Gembloux","","2018","1","Île-de-France","","Homme","0","Entreprise de réalisation","","6-10","Je ne sais pas","","","","","","","","","C.D.I","39","3","Oui, si flexbile","Chargé(e) d'étude débutant","","0","2","8826","X","","","","","4"
"136","9172298","06/07/2021 - 11:14","06/07/2021 - 11:14","06/07/2021 - 11:14","0","0.0.0.0","0","Anonymous","ESAJ","","2005","15","Île-de-France","","Homme","1","Fonction publique","Service technique","26-50","Fonction publique territoriale","","","","","","","","","C.D.D","39","5 - Très satisfait","Oui, si flexbile","Autre","adjoint responsable de service","1","5 - Très satisfait","23000","X","","23000","","CE, RTT, ","1"
"137","9172302","06/07/2021 - 11:14","06/07/2021 - 11:14","06/07/2021 - 11:14","0","0.0.0.0","0","Anonymous","ENSAPBX","","2001","20","Nouvelle-Aquitaine","","Femme","1","Agence de paysage","SARL","2-5","Je ne sais pas","X","","X","","","","","","Dirigeant de SARL","50","2","Oui, si flexbile","Responsable d'agence / bureaux","","19","4","17000","","X","","","","1"
"138","9172305","06/07/2021 - 11:14","06/07/2021 - 11:14","06/07/2021 - 11:14","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2001","20","Auvergne-Rhône-Alpes","","Femme","1","Bureau d'études","bureau d'études en environnement","6-10","Syntec: Convention collective nationale des bureaux d'études techniques, des cabinets d'ingénieurs-conseils et des sociétés de conseils","","","","","","","","","C.D.I","37","3","Oui, si flexbile","Chef(fe) de projet confirmé","","11","3","27000","X","","27000","","aucun","2"
"139","9172327","06/07/2021 - 11:16","06/07/2021 - 11:16","06/07/2021 - 11:16","0","0.0.0.0","0","Anonymous","Lullier","","2008","16","Pays de la Loire","","Homme","2","Agence de paysage","Pôle paysage au sein d'un be ingéniérie","201-500","Syntec: Convention collective nationale des bureaux d'études techniques, des cabinets d'ingénieurs-conseils et des sociétés de conseils","","","","","","","","","C.D.I","35","5 - Très satisfait","Oui, si flexbile","Chef(fe) de projet confirmé","","4","1","32000","X","","","","rtt, tickets restaurant, ce, primes, voitures de sociétés","3"
"140","9172443","06/07/2021 - 11:27","06/07/2021 - 11:27","06/07/2021 - 11:27","0","0.0.0.0","0","Anonymous","ESAJ","","2009","14","Île-de-France","","Homme","2","Agence de paysage","","2-5","Convention collective nationale des entreprises d'architecture","X","","","X","","","","","C.D.I","39","5 - Très satisfait","Non, uniquement pour le premier confinement","Responsable d'agence / bureaux","","7","5 - Très satisfait","34320","X","","34320","","Aucun","4"
"141","9172532","06/07/2021 - 11:36","06/07/2021 - 11:36","06/07/2021 - 11:36","0","0.0.0.0","0","Anonymous","Gembloux","","2004","17","Normandie","","Homme","04","Agence de paysage","Sarl au KS de 50  000€","2-5","Convention collective nationale des entreprises du paysage","X","","","","","","","","Dirigeant de SARL","50","0 - Pas du tout satisfait","Oui, y compris à temps complet","Directeur(trice)/Dirigeant(e) de société","","10","4","35000","X","X","","","","3"
"142","9172535","06/07/2021 - 11:36","06/07/2021 - 11:36","06/07/2021 - 11:36","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2006","14","Auvergne-Rhône-Alpes","","Femme","2","Agence de paysage","","11-25","Syntec: Convention collective nationale des bureaux d'études techniques, des cabinets d'ingénieurs-conseils et des sociétés de conseils","","","","","","","","","C.D.I","31","5 - Très satisfait","Oui, si flexbile","Chef(fe) de projet confirmé","","11","5 - Très satisfait","","X","","13862","","tickets restaurants, interessement","3"
"143","9172537","06/07/2021 - 11:36","06/07/2021 - 11:36","06/07/2021 - 11:36","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2010","11","La Réunion","","Femme","2","Freelance / Indépendant","","1","Code du travail (Sans convention)","","","","","X","","","","Micro-entrepreneur (ME / Auto-entrepreneur)","39","3","Oui, si flexbile","Chef(fe) de projet confirmé","","1","4","22000","","X","","12000","","2"
"144","9172679","06/07/2021 - 11:49","06/07/2021 - 11:49","06/07/2021 - 11:49","0","0.0.0.0","0","Anonymous","ENSAPBX","","2003","15","Nouvelle-Aquitaine","","Femme","2","Agence de paysage","","1","Je ne sais pas","","","","","","","","","Micro-entrepreneur (ME / Auto-entrepreneur)","36","5 - Très satisfait","Oui, si flexbile","Chargé(e) d'affaires / d'opérations / de missions","","15","5 - Très satisfait","61604","X","X","","","","5 - Très satisfait"
"145","9172702","06/07/2021 - 11:51","06/07/2021 - 11:51","06/07/2021 - 11:51","0","0.0.0.0","0","Anonymous","Agrocampus Ouest (INH)","","2011","10","Bretagne","","Femme","0","Agence de paysage","","2-5","Syntec: Convention collective nationale des bureaux d'études techniques, des cabinets d'ingénieurs-conseils et des sociétés de conseils","","","","","","","","","C.D.I","35","4","Oui, si flexbile","Chargé(e) d'étude confirmé","","10","3","38500","X","","38500","","","3"
"146","9172766","06/07/2021 - 11:57","06/07/2021 - 11:57","06/07/2021 - 11:57","0","0.0.0.0","0","Anonymous","ENSP Marseille","","2018","2","Paris","","Homme","0","Bureau d'études","","51-200","Syntec: Convention collective nationale des bureaux d'études techniques, des cabinets d'ingénieurs-conseils et des sociétés de conseils","","","","","","","","","C.D.I","35","3","Oui, si flexbile","Chargé(e) d'étude","","2","2","20400","X","","20400","","TR","2"
"147","9172812","06/07/2021 - 12:01","06/07/2021 - 12:01","06/07/2021 - 12:01","0","0.0.0.0","0","Anonymous","ESAJ","","1996","25","Île-de-France","","Je ne souhaite pas répondre","2","Bureau d'études","","2-5","Syntec: Convention collective nationale des bureaux d'études techniques, des cabinets d'ingénieurs-conseils et des sociétés de conseils","","","","","","","","","Dirigeant de SARL","50","3","Oui, si flexbile","Autre","Gérant de SARL ","25","4","50000","X","","50000","","Primes et dividendes","4"
"148","9172830","06/07/2021 - 12:02","06/07/2021 - 12:02","06/07/2021 - 12:02","0","0.0.0.0","0","Anonymous","ENSAPBX","","2016","5","Hauts-de-France","","Femme","0","Fonction publique","Communauté d'agglomération","1001-...","Fonction publique territoriale","","","","","","","","","C.D.D","39","4","Oui, si flexbile","Chargé(e) d'étude","","2","5 - Très satisfait","26789","X","","24900","","RTT","4"
"149","9172890","06/07/2021 - 12:09","06/07/2021 - 12:09","06/07/2021 - 12:09","0","0.0.0.0","0","Anonymous","INSA-CVL-ENP (ex: ENSNP)","","2006","15","Île-de-France","","Homme","0","Agence de paysage","","6-10","Syntec: Convention collective nationale des bureaux d'études techniques, des cabinets d'ingénieurs-conseils et des sociétés de conseils","X","","X","","","","X","","Dirigeant de SARL","50","3","Oui, si flexbile","Directeur(trice)/Dirigeant(e) de société","","13","3","58000","","","","","","4"
"150","9172990","06/07/2021 - 12:18","06/07/2021 - 12:18","06/07/2021 - 12:18","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2012","9","Pays de la Loire","","Homme","1","Agence de paysage","","2-5","Convention collective nationale des entreprises d'architecture","","","","","","","","","C.D.I","35","4","Non, pas du tout","Chargé(e) d'étude confirmé","","3","4","23500","X","","23500","","","3"
"151","9173000","06/07/2021 - 12:20","06/07/2021 - 12:20","06/07/2021 - 12:20","0","0.0.0.0","0","Anonymous","INSA-CVL-ENP (ex: ENSNP)","","2004","17","Paris","","Homme","3","Agence de paysage","SARL","1","Convention collective nationale des entreprises d'architecture","","","","","","","","","Dirigeant de SARL","45","3","Oui, si flexbile","Directeur(trice)/Dirigeant(e) de société","","8","5 - Très satisfait","24696","","X","","","","1"
"152","9173007","06/07/2021 - 12:20","06/07/2021 - 12:20","06/07/2021 - 12:20","0","0.0.0.0","0","Anonymous","ENSP Versailles","","1999","21","Auvergne-Rhône-Alpes","","Homme","3","Agence de paysage","sarl-u","1","Convention collective nationale des entreprises d'architecture","X","","","","","","X","","Dirigeant d'entreprise salarié","45","5 - Très satisfait","Oui, si flexbile","Directeur(trice)/Dirigeant(e) de société","","1","5 - Très satisfait","33000","X","","33000","","récupération de TVA sur achats et frais","5 - Très satisfait"
"153","9173147","06/07/2021 - 12:35","06/07/2021 - 12:35","06/07/2021 - 12:35","0","0.0.0.0","0","Anonymous","Autre","Ceria Ipiat Bruxelles","1996","25","Hauts-de-France","","Femme","0","Agence de paysage","","6-10","Convention collective nationale des entreprises d'architecture","X","","","","","","","","Dirigeant de SARL","50","5 - Très satisfait","Non, pas du tout","Directeur(trice)/Dirigeant(e) de société","","17","5 - Très satisfait","56000","","X","","36400","","3"
"154","9173219","06/07/2021 - 12:41","06/07/2021 - 12:41","06/07/2021 - 12:41","0","0.0.0.0","0","Anonymous","Autre","Université forestière de Sofia et Politechnique de Milan","2014","7","Île-de-France","","Femme","0","Freelance / Indépendant","Autoentrepreneur","1","Je ne sais pas","","","","","X","","","","Micro-entrepreneur (ME / Auto-entrepreneur)","10","5 - Très satisfait","Oui, y compris à temps complet","Chargé(e) d'étude confirmé","","4","4","","","X","","9763","","2"
"155","9173360","06/07/2021 - 12:59","06/07/2021 - 12:59","06/07/2021 - 12:59","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2014","7","Normandie","","Homme","1","Fonction publique","Mairie","1001-...","Fonction publique","","","","","X","","","","Contractuel dans la fonction publique","34","5 - Très satisfait","Oui, si flexbile","Responsable d'équipe","","7","3","25000","X","","25000","","","3"
"156","9173492","06/07/2021 - 13:19","06/07/2021 - 13:19","06/07/2021 - 13:19","0","0.0.0.0","0","Anonymous","Autre","","1997","22","Pays de la Loire","","Homme","2","Agence de paysage","","11-25","Syntec: Convention collective nationale des bureaux d'études techniques, des cabinets d'ingénieurs-conseils et des sociétés de conseils","","","","","","","","","C.D.I","43","3","Oui, si flexbile","Chef(fe) de projet confirmé","","21","4","34122","X","","34122","","tickets restaurants","2"
"157","9173530","06/07/2021 - 13:23","06/07/2021 - 13:23","06/07/2021 - 13:23","0","0.0.0.0","0","Anonymous","ENSAPBX","","2004","17","Paris","","Homme","3","Bureau d'études","spécialisée en hydraulogie urbaine","11-25","Syntec: Convention collective nationale des bureaux d'études techniques, des cabinets d'ingénieurs-conseils et des sociétés de conseils","","","","","","","","","C.D.I","39","3","Oui, si flexbile","Chef(fe) de projet","","4","4","34518","X","","","","ticket retaurant","2"
"158","9173703","06/07/2021 - 13:42","06/07/2021 - 13:42","06/07/2021 - 13:42","0","0.0.0.0","0","Anonymous","ESAJ","","1995","26","Paris","","Femme","2","Agence de paysage","","6-10","Convention collective nationale des entreprises d'architecture","X","","","","","","","","C.D.I","35","2","Non, pas du tout","Directeur(trice)/Dirigeant(e) de société","","26","3","40500","X","","3375","","tickets restaurant, pass navigo","2"
"159","9174030","06/07/2021 - 14:12","06/07/2021 - 14:12","06/07/2021 - 14:12","0","0.0.0.0","0","Anonymous","ITIAPE - ISA Lille","","2018","3","Île-de-France","","Homme","0","Portage salarial","Mise à disposition à temps plein chez SNCF Réseau","1001-...","Je ne sais pas","","","","","","","","","C.D.I","42.5","3","Oui, si flexbile","Chef(fe) de projet","","6","4","38137","X","","31152","","Ticket restaurant (6€/jours), CE, prime de congés (10% 1 mois de salaire/an) ","3"
"160","9174108","06/07/2021 - 14:20","06/07/2021 - 14:20","06/07/2021 - 14:20","0","0.0.0.0","0","Anonymous","Autre","BTSA Aménagement paysagers","2005","13","Occitanie","","Femme","2","Bureau d'études","","6-10","Syntec: Convention collective nationale des bureaux d'études techniques, des cabinets d'ingénieurs-conseils et des sociétés de conseils","","","","","","","X","","C.D.I","16","3","Oui, si flexbile","Chargé(e) d'étude","","1","3","12700","X","","15000","","","4"
"161","9174143","06/07/2021 - 14:22","06/07/2021 - 14:22","06/07/2021 - 14:22","0","0.0.0.0","0","Anonymous","ENSAPL","","2018","2","Auvergne-Rhône-Alpes","","","0","Agence d'architecture","","26-50","Convention collective nationale des entreprises d'architecture","","","","","","","","","C.D.I","40","3","Oui, si flexbile","Chargé(e) d'étude débutant","","0","4","22500","X","","22500","","RTT, tickets restaurants","3"
"162","9174544","06/07/2021 - 14:45","06/07/2021 - 14:45","06/07/2021 - 14:45","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2004","17","Île-de-France","","Femme","0","Fonction publique","Bureau de""études","11-25","Convention collective agricole","","","","","","","","","C.D.I","35","4","Oui, y compris à temps complet","Chef(fe) de projet","","9","3","30000","X","","28000","","RTT","3"
"163","9174637","06/07/2021 - 14:51","06/07/2021 - 14:51","06/07/2021 - 14:51","0","0.0.0.0","0","Anonymous","Gembloux","","2020","0","Bretagne","","Homme","0","Agence de paysage","","6-10","Je ne sais pas","","","","","","","","","C.D.I","35","4","Non, exceptionnellement pour les deux confinements","Chargé(e) d'étude","","0","5 - Très satisfait","","X","","","","","4"
"164","9174826","06/07/2021 - 15:07","06/07/2021 - 15:07","06/07/2021 - 15:07","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2003","17","Bretagne","","Femme","1","Agence de paysage","agence d'architecture ET de paysage","6-10","Convention collective nationale des entreprises d'architecture","","","","","","","","","C.D.I","30","5 - Très satisfait","Oui, y compris à temps complet","Chef(fe) de projet confirmé","","12","1","29000","X","","27000","","tickets restaurant","3"
"165","9175315","06/07/2021 - 15:48","06/07/2021 - 15:48","06/07/2021 - 15:48","0","0.0.0.0","0","Anonymous","Autre","MASTER aménagement","2013","7","Bourgogne-Franche-Comté","","Je ne souhaite pas répondre","0","C.A.U.E","","6-10","Convention collective des CAUE","","","","","","","","","C.D.I","39","4","Oui, si flexbile","Paysagiste conseil","","4","4","29000","X","","29000","","Néant","3"
"166","9175760","06/07/2021 - 16:29","06/07/2021 - 16:29","06/07/2021 - 16:29","0","0.0.0.0","0","Anonymous","Autre","Architecte dplg","2003","9","Paris","","Femme","4","Freelance / Indépendant","","1","Je ne sais pas","","","","","X","","","","Micro-entrepreneur (ME / Auto-entrepreneur)","20","5 - Très satisfait","Oui, si flexbile","Autre","","9","5 - Très satisfait","","","X","","16000","","3"
"167","9175837","06/07/2021 - 16:37","06/07/2021 - 16:37","06/07/2021 - 16:37","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2009","11","Provence-Alpes-Côte d'Azur","","Homme","0","Bureau d'études","BE ARTELIA - branche Ville & Transport","1001-...","Syntec: Convention collective nationale des bureaux d'études techniques, des cabinets d'ingénieurs-conseils et des sociétés de conseils","","","","","","","","","C.D.I","39","1","Oui, y compris à temps complet","Chef(fe) de projet","","11","3","28972","X","","28972","","RTT, Tickets resto, CE, intéressement, participation, prime (pas automatique)","1"
"168","9175922","06/07/2021 - 16:45","06/07/2021 - 16:45","06/07/2021 - 16:45","0","0.0.0.0","0","Anonymous","ENSP Versailles","","1990","31","Occitanie","","Homme","0","Fonction publique","DREAL","501-1000","Fonction publique","","","","","","","","","Fonctionnaire","39","3","Oui, si flexbile","Chargé(e) d'affaires / d'opérations / de missions","","19","3","45000","X","","","","Aucun","3"
"169","9175964","06/07/2021 - 16:49","06/07/2021 - 16:49","06/07/2021 - 16:49","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2009","12","Hauts-de-France","","Homme","2","Agence de paysage","","2-5","Convention collective nationale des entreprises d'architecture","","","","","","","","","C.D.I","39","3","Non, uniquement pour le premier confinement","Chef(fe) de projet","","9","4","28800","X","","28800","","Téléphone portable professionnel, ordinateur portable professionnel, tickets restaurants","3"
"170","9176189","06/07/2021 - 17:10","06/07/2021 - 17:10","06/07/2021 - 17:10","0","0.0.0.0","0","Anonymous","INSA-CVL-ENP (ex: ENSNP)","","2007","14","Paris","","Femme","4","Agence de paysage","","2-5","Convention collective nationale des entreprises d'architecture","","","","","","","","","C.D.I","32","3","Oui, si flexbile","Chef(fe) de projet","","4","3","","X","","20400","","0","2"
"171","9176283","06/07/2021 - 17:19","06/07/2021 - 17:19","06/07/2021 - 17:19","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2013","5","Auvergne-Rhône-Alpes","","Femme","0","Freelance / Indépendant","Entrepreneure-associée en coopérative d'entrepreneurs","51-200","Code du travail (Sans convention)","","","","","","","","","C.D.I","30","5 - Très satisfait","Oui, si flexbile","Chef(fe) de projet","","5","5 - Très satisfait","16110","","","","","","3"
"172","9176296","06/07/2021 - 17:20","06/07/2021 - 17:20","06/07/2021 - 17:20","0","0.0.0.0","0","Anonymous","ESAJ","","1982","39","Pays de la Loire","","Homme","3","Bureau d'études","","201-500","Syntec: Convention collective nationale des bureaux d'études techniques, des cabinets d'ingénieurs-conseils et des sociétés de conseils","","","","","","","","","C.D.I","39","3","Oui, si flexbile","Chef(fe) de projet confirmé","","26","4","41175","X","","41175","","10j RTT, Tickets restaurants, CE, Voiture de service ","3"
"173","9176321","06/07/2021 - 17:22","06/07/2021 - 17:22","06/07/2021 - 17:22","0","0.0.0.0","0","Anonymous","INSA-CVL-ENP (ex: ENSNP)","","2013","8","Grand Est","","Femme","0","Agence de paysage","","2-5","Convention collective nationale des entreprises d'architecture","","","","","","","","","C.D.I","36","3","Oui, si flexbile","Chef(fe) de projet","","4","3","18681","X","","","","TICKETS RESTAURANTS","2"
"174","9176615","06/07/2021 - 17:53","06/07/2021 - 17:53","06/07/2021 - 17:53","0","0.0.0.0","0","Anonymous","ENSP Versailles","","1995","25","Île-de-France","","Homme","0","Agence de paysage","","6-10","Je ne sais pas","","","","","","","","","C.D.I","50","2","Oui, si flexbile","Responsable d'agence / bureaux","","15","4","56000","X","","56000","","CE","4"
"175","9176862","06/07/2021 - 18:25","06/07/2021 - 18:25","06/07/2021 - 18:25","0","0.0.0.0","0","Anonymous","ENSP Versailles","","1997","24","Provence-Alpes-Côte d'Azur","","Homme","3","Agence de paysage","SARL","2-5","Syntec: Convention collective nationale des bureaux d'études techniques, des cabinets d'ingénieurs-conseils et des sociétés de conseils","","","","","","","","","Dirigeant de SARL","50","0 - Pas du tout satisfait","Oui, si flexbile","Directeur(trice)/Dirigeant(e) de société","","5","3","21795","","X","","21795","","0 - Pas du tout satisfait"
